 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.050
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         2       1.6084
      2       141         2      38.2335
      3       140         4      31.5009
      4       139         9      43.5026
      5       138         9      38.7772
      6       137         8      36.9292
      7       136        12      36.0896
      8       135        16      41.2927
      9       134        16      50.5550
     10       133        17      33.8456
     11       132        20      43.0384
     12       131        15      45.1268
     13       130        18      41.0939
     14       129        17      38.8843
     15       128        17      46.0897
     16       127        19      33.7911
     17       126        15      34.5750
     18       125        19      44.0175
     19       124        24      32.0652
     20       123        21      44.1795
     21       122        22      49.4997
     22       121        21      37.5498
     23       120        28      36.6857
     24       119        22      33.9245
     25       118        23      44.9736
     26       117        26      40.9521
     27       116        22      43.8649
     28       115        19      41.6037
     29       114        17      35.0814
     30       113        12      51.0928
     31       112        15      45.4900
     32       111        22      41.1762
     33       110        19      31.5150
     34       109        24      37.4179
     35       108        18      33.4779
     36       107        17      36.2574
     37       106        11      36.9240
     38       105        23      41.2843
     39       104        16      41.4232
     40       103         5      25.9562
 ---------------------------------------
 TOTAL NUM. LINES:      662
 MEAN RMS RESIDUAL PER ORD:      38.5337
 MEAN LINES PER ORD:  16.55
 MEAN RMS RESIDUAL:              40.1506
