 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.060
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         3      11.0551
      2       127        21      33.4117
      3       126        25      29.9447
      4       125        20      28.0186
      5       124        14      26.3406
      6       123        22      19.6724
      7       122        29      33.6829
      8       121        29      30.3870
      9       120        28      27.4352
     10       119        21      31.8300
     11       118        28      34.5673
     12       117        21      31.6817
     13       116        23      27.8429
     14       115        28      28.5932
     15       114        32      26.3632
     16       113        38      31.2772
     17       112        24      29.2318
     18       111        30      26.8030
     19       110        33      27.8425
     20       109        21      27.0686
     21       108        17      35.7274
     22       107        28      29.2363
     23       106        16      35.2736
 ---------------------------------------
 TOTAL NUM. LINES:      551
 MEAN RMS RESIDUAL PER ORD:      28.8386
 MEAN LINES PER ORD:  23.96
 MEAN RMS RESIDUAL:              29.5640
