 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       142         2      11.0300
      2       141         1       0.0000
      3       140         5      39.1766
      4       139         5      21.8476
      5       138        12      34.4549
      6       137         8      48.4664
      7       136         7      38.7484
      8       135        11      36.7481
      9       134        14      37.5862
     10       133        16      32.8354
     11       132        13      38.6890
     12       131        17      40.0023
     13       130        20      51.5030
     14       129        18      43.2903
     15       128        10      37.5707
     16       127        17      40.2405
     17       126        16      25.3919
     18       125         9      41.1050
     19       124        15      40.0487
     20       123        13      43.8233
     21       122        23      37.9184
     22       121        18      31.8219
     23       120        16      34.7897
     24       119        20      33.8939
     25       118        14      42.3031
     26       117        20      40.0552
     27       116        19      36.0537
     28       115        21      38.2293
     29       114        19      40.6908
     30       113        12      35.0321
     31       112         9      44.2512
     32       111        13      32.9447
     33       110        19      32.1792
     34       109        27      39.4659
     35       108        13      39.1369
     36       107        12      31.6488
     37       106        11      38.2351
     38       105        19      41.4636
     39       104        16      36.0658
     40       103         5      46.7256
 ---------------------------------------
 TOTAL NUM. LINES:      555
 MEAN RMS RESIDUAL PER ORD:      36.3866
 MEAN LINES PER ORD:  13.88
 MEAN RMS RESIDUAL:              38.2483
