 CENTRAL WAVELENGTH: 564
 BINNING: 1x1
 TOLERANCE:  0.065
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       132         4      43.1825
      2       131        19      34.3825
      3       130        20      29.5455
      4       129        21      33.4897
      5       128        17      31.1007
      6       127        23      32.9081
      7       126        23      37.5442
      8       125        25      32.8224
      9       124        13      35.4768
     10       123        17      40.1601
     11       122        19      42.2220
     12       121        24      35.1714
     13       120        19      51.9348
     14       119        16      30.3856
     15       118        14      42.2079
     16       117        17      28.5145
     17       116        26      36.6689
     18       115        30      47.7411
     19       114        30      35.6375
     20       113        35      40.0301
     21       112        18      40.2503
     22       111        23      30.4566
     23       110        30      36.6164
     24       109        12      41.3461
 ---------------------------------------
 TOTAL NUM. LINES:      495
 MEAN RMS RESIDUAL PER ORD:      37.0748
 MEAN LINES PER ORD:  20.62
 MEAN RMS RESIDUAL:              36.8672
