 CENTRAL WAVELENGTH: 390
 BINNING: 1x1
 TOLERANCE:  0.045
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       141         1       0.0000
      2       140         6      36.4852
      3       139         7      48.9007
      4       138        10      40.0695
      5       137         9      31.3184
      6       136        12      49.1140
      7       135        15      36.5538
      8       134        11      36.1677
      9       133        14      40.4761
     10       132        16      40.9124
     11       131        14      41.2520
     12       130        19      41.3037
     13       129        18      42.0375
     14       128        12      42.0402
     15       127        20      36.2790
     16       126        16      39.4159
     17       125        15      36.4524
     18       124        20      32.7510
     19       123        17      39.3184
     20       122        24      37.7599
     21       121        23      39.8321
     22       120        26      31.8530
     23       119        24      33.7289
     24       118        20      31.6162
     25       117        19      38.9373
     26       116        18      34.1046
     27       115        22      44.2465
     28       114        21      39.3551
     29       113        16      36.8299
     30       112        13      33.4247
     31       111        15      34.9170
     32       110        24      37.5894
     33       109        28      40.2455
     34       108        16      25.7474
     35       107        15      31.1548
     36       106        11      33.6500
     37       105        24      39.6100
     38       104         7      17.7255
     39       103         0       0.0000
 ---------------------------------------
 TOTAL NUM. LINES:      618
 MEAN RMS RESIDUAL PER ORD:      36.1362
 MEAN LINES PER ORD:  15.85
 MEAN RMS RESIDUAL:              38.0872
