 CENTRAL WAVELENGTH: 580
 BINNING: 1x1
 TOLERANCE:  0.055
 DEGREE: 6
 SEQ.NO  SPECTRAL  NO.LINES     STD.DEV.
          ORDER                   M/S
 ------  --------  --------    ---------
      1       128         2      19.8716
      2       127        13      21.6881
      3       126        19      27.6092
      4       125        21      29.3640
      5       124        17      26.4086
      6       123        26      26.4782
      7       122        29      29.7087
      8       121        32      34.8408
      9       120        29      30.8295
     10       119        19      27.4879
     11       118        21      33.4977
     12       117        27      31.3657
     13       116        23      29.6733
     14       115        25      21.5443
     15       114        35      26.8307
     16       113        35      26.4415
     17       112        26      33.2434
     18       111        27      24.1545
     19       110        27      26.8741
     20       109        17      30.6957
     21       108        10      27.2084
     22       107        12      39.0844
     23       106         3      14.5195
 ---------------------------------------
 TOTAL NUM. LINES:      495
 MEAN RMS RESIDUAL PER ORD:      27.8009
 MEAN LINES PER ORD:  21.52
 MEAN RMS RESIDUAL:              28.7576
